

      Longitude          Obliquity        Amplitude
     In       Out       In       Out      (mas)
    (mas)    (mas)     (mas)    (mas)
   0.0009   0.0006    0.0000   0.0000     0.0004
   0.0000   0.0011    0.0005   0.0000     0.0007
  -0.0003   0.0000    0.0000   0.0001     0.0002
   0.0000   0.0004    0.0000   0.0000     0.0002
   0.0004   0.0015    0.0008  -0.0002     0.0010
   0.0000  -0.0006   -0.0002   0.0000     0.0003
  -0.0014  -0.0039    0.0000   0.0000     0.0017
   0.0057   0.0011    0.0006  -0.0030     0.0038
   0.0140   0.0027    0.0014  -0.0075     0.0095
   0.0031   0.0006    0.0003  -0.0017     0.0021
   0.0000   0.0007    0.0003   0.0000     0.0004
   0.0000   0.0012    0.0005   0.0000     0.0007
  -0.0011  -0.0268   -0.0116   0.0005     0.0158
  -0.0051   0.0000    0.0000   0.0022     0.0030
  -0.0008   0.0012    0.0006   0.0004     0.0009
   0.0009  -0.0013   -0.0007  -0.0005     0.0011
  -0.0006   0.0009    0.0005   0.0003     0.0007
  -0.0086   0.0153    0.0000   0.0000     0.0070
   0.0003   0.0000    0.0000  -0.0002     0.0002
   0.0004   0.0000    0.0000  -0.0002     0.0003
   0.0085   0.0000    0.0000  -0.0037     0.0050
  -0.0012   0.0000    0.0000   0.0005     0.0007
  -0.2150   0.0000    0.0000   0.0932     0.1268
   0.0011  -0.0049   -0.0026  -0.0007     0.0034
  -0.0010   0.0040    0.0021   0.0005     0.0027
  -0.0145   0.0047    0.0000   0.0000     0.0061
  -0.0003  -0.0009   -0.0005   0.0003     0.0007
  -0.0009  -0.0014   -0.0008   0.0005     0.0012
   0.0008   0.0000    0.0000  -0.0004     0.0005
  -0.0004   0.0009    0.0000   0.0000     0.0004
   0.0000   0.0004    0.0000   0.0000     0.0002
  -0.0037   0.0035    0.0019   0.0020     0.0034
  -0.0007   0.0000    0.0000   0.0003     0.0004
   0.0000   0.0010    0.0004   0.0000     0.0006
   0.0054   0.0000    0.0000  -0.0029     0.0036
   0.0000  -0.0007   -0.0003   0.0000     0.0004
   0.0000  -0.0007   -0.0003   0.0000     0.0004
  -0.0138   0.0000    0.0000   0.0000     0.0055
   0.0000   0.0015    0.0007   0.0000     0.0009
   0.0008  -0.0004   -0.0002  -0.0004     0.0006
  -0.0008   0.0004    0.0002   0.0004     0.0006
  -0.0004   0.0000    0.0000   0.0000     0.0002
  -0.0004   0.0000    0.0000   0.0000     0.0002
   0.0000   0.0008    0.0004   0.0001     0.0005
   0.0000   0.0008    0.0004   0.0000     0.0005
